url,category_code,category_description,date_added,source,notes
https://www.comeon.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet1.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet10.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet11.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet12.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet13.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet14.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet15.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet16.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet17.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet18.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet19.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet20.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet21.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet23.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet101.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet102.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet103.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet104.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet105.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet106.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet107.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet108.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet109.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbet110.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://1xbetcn.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.tempobet.com,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
https://www.unibet.co.uk,GMB,Gambling,2018-10-12,Financial Administration Slovak Republic,
